sample_id,file_path,label,domain,source_dataset,generator,split
musicgen_musicgen_00007_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00007_seg0002.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00007_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00007_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00007_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00007_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00008_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00008_seg0000.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00008_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00008_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00008_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00008_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00008_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00008_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00008_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00008_seg0004.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00009_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00009_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00009_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00009_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00009_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00009_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00009_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00009_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00009_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00009_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00010_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00010_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00010_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00010_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00010_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00010_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00010_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00010_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00010_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00010_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00011_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00011_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00011_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00011_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00011_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00011_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00011_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00011_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00011_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00011_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00012_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00012_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00012_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00012_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00012_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00012_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00012_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00012_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00012_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00012_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00013_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00013_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00013_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00013_seg0001.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00013_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00013_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00013_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00013_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00013_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00013_seg0004.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00014_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00014_seg0000.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00014_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00014_seg0001.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00014_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00014_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00014_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00014_seg0003.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00014_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00014_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00015_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00015_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00015_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00015_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00015_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00015_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00015_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00015_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00015_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00015_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00016_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00016_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00016_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00016_seg0001.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00016_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00016_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00016_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00016_seg0003.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00016_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00016_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00017_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00017_seg0000.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00017_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00017_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00017_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00017_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00017_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00017_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00017_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00017_seg0004.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00018_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00018_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00018_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00018_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00018_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00018_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00018_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00018_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00018_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00018_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00019_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00019_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00019_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00019_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00019_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00019_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00019_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00019_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00019_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00019_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00020_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00020_seg0000.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00020_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00020_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00020_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00020_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00020_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00020_seg0003.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00020_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00020_seg0004.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00021_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00021_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00021_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00021_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00021_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00021_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00021_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00021_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00021_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00021_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00022_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00022_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00022_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00022_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00022_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00022_seg0002.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00022_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00022_seg0003.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00022_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00022_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00023_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00023_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00023_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00023_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00023_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00023_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00023_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00023_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00023_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00023_seg0004.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00024_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00024_seg0000.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00024_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00024_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00024_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00024_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00024_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00024_seg0003.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00024_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00024_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00025_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00025_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00025_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00025_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00025_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00025_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00025_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00025_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00025_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00025_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00026_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00026_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00026_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00026_seg0001.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00026_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00026_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00026_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00026_seg0003.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00026_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00026_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00027_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00027_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00027_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00027_seg0001.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00027_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00027_seg0002.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00027_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00027_seg0003.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00027_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00027_seg0004.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00028_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00028_seg0000.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00028_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00028_seg0001.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00028_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00028_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00028_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00028_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00028_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00028_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00029_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00029_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00029_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00029_seg0001.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00029_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00029_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00029_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00029_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00029_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00029_seg0004.wav,1.0,music,musicgen,musicgen,val
musicgen_musicgen_00030_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00030_seg0000.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00030_seg0001,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00030_seg0001.wav,1.0,music,musicgen,musicgen,test
musicgen_musicgen_00030_seg0002,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00030_seg0002.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00030_seg0003,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00030_seg0003.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00030_seg0004,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00030_seg0004.wav,1.0,music,musicgen,musicgen,train
musicgen_musicgen_00031_seg0000,/content/drive/MyDrive/AI-Innovation-Data/Processed/music/fake/musicgen/musicgen_00031_seg0000.wav,1.0,music,musicgen,musicgen,test
